iter	Passed	Remaining
0	147	147171
1	149	74504
2	151	50228
3	153	38127
4	153	30601
5	154	25562
6	155	22091
7	157	19469
8	159	17519
9	160	15930
10	163	14741
11	165	13617
12	167	12719
13	169	11932
14	170	11166
15	172	10597
16	174	10103
17	178	9724
18	179	9275
19	180	8846
20	183	8541
21	184	8190
22	184	7852
23	186	7564
24	188	7339
25	190	7138
26	192	6938
27	194	6756
28	196	6570
29	198	6405
30	199	6244
31	201	6093
32	203	5953
33	204	5814
34	206	5691
35	208	5571
36	209	5456
37	211	5342
38	212	5235
39	213	5129
40	215	5029
41	216	4934
42	217	4842
43	218	4755
44	220	4671
45	221	4588
46	222	4504
47	223	4425
48	224	4350
49	225	4281
50	226	4213
51	227	4147
52	228	4084
53	229	4022
54	230	3963
55	231	3903
56	232	3848
57	233	3795
58	234	3740
59	235	3687
60	236	3636
61	237	3589
62	238	3540
63	239	3495
64	239	3450
65	240	3406
66	241	3364
67	242	3321
68	243	3281
69	243	3240
70	244	3203
71	245	3165
72	246	3128
73	247	3093
74	248	3059
75	248	3025
76	249	2992
77	250	2960
78	251	2929
79	252	2898
80	252	2864
81	253	2834
82	253	2805
83	254	2778
84	255	2747
85	255	2718
86	256	2691
87	257	2665
88	257	2639
89	258	2614
90	259	2588
91	259	2563
92	260	2540
93	261	2516
94	261	2493
95	262	2471
96	263	2448
97	263	2426
98	264	2404
99	264	2382
100	265	2362
101	265	2341
102	266	2321
103	267	2301
104	267	2282
105	268	2263
106	268	2243
107	269	2225
108	270	2207
109	270	2189
110	271	2172
111	271	2154
112	272	2137
113	272	2120
114	273	2103
115	273	2087
116	274	2071
117	275	2056
118	275	2041
119	276	2025
120	276	2011
121	277	1997
122	278	1983
123	278	1969
124	279	1955
125	280	1942
126	280	1929
127	281	1915
128	281	1901
129	282	1888
130	282	1874
131	283	1861
132	283	1849
133	284	1836
134	284	1824
135	285	1811
136	285	1799
137	286	1787
138	286	1775
139	287	1764
140	287	1753
141	288	1741
142	288	1730
143	289	1720
144	289	1709
145	290	1699
146	291	1689
147	291	1678
148	292	1668
149	292	1658
150	293	1648
151	293	1638
152	294	1628
153	294	1618
154	295	1609
155	295	1599
156	296	1589
157	296	1581
158	297	1571
159	297	1562
160	298	1553
161	298	1545
162	299	1536
163	299	1527
164	300	1518
165	300	1510
166	301	1501
167	301	1493
168	301	1484
169	302	1476
170	302	1468
171	303	1461
172	304	1453
173	304	1446
174	305	1439
175	305	1432
176	306	1424
177	307	1417
178	307	1410
179	308	1403
180	308	1396
181	309	1389
182	309	1382
183	310	1375
184	310	1369
185	311	1362
186	311	1355
187	312	1348
188	312	1342
189	313	1335
190	313	1329
191	314	1323
